IP Interface Status for VRF "default"(1)
Interface            IP Address      Interface Status
Vlan2                10.11.1.10      protocol-down/link-down/admin-up   
Vlan10               10.1.0.2        protocol-down/link-down/admin-up   
Vlan1000             10.0.0.3        protocol-down/link-down/admin-up   
Vlan1001             10.0.1.3        protocol-down/link-down/admin-up   
Vlan1002             10.0.2.3        protocol-down/link-down/admin-up   
Vlan1010             10.0.10.3       protocol-down/link-down/admin-up   
Vlan1011             10.0.11.3       protocol-down/link-down/admin-up   
Vlan1012             10.0.12.3       protocol-down/link-down/admin-up   
Lo0                  7.1.1.1         protocol-up/link-up/admin-up       
Eth1/7               172.16.0.11     protocol-up/link-up/admin-up
